cleaned_comment,label
d saat org berbindong utk mnjdi putih wanita ini dengan bangga nya dengan warna kulitnya ini lah yg d sebut bersyukur,0
gaes glowing gak harus putih cinta ini kek jenifer lebih suka kulit tan jadi bukan dia gak ngerawat diri justru dia sengaja ngubah warna kulit biar eksotis,0
malah keliatan lbh mudaan emaknya,1
coba dehhhhh ke salon,1
plisss normalisasikann tan skin teman semua kulit tuhh cakepp,0
maaf bgt pertama liat tak pikir peramal mbah dukun g nge klo uya kuya,1
cantikkk bngtttt please jgn dengerin orang ngomong apa kmu cantik dengan pilihan kamu sendiri setiap,0
cantik cinta kuya inilah sebenarnya kulit indonesia woy tan skin banggalah kalian tapi cinta kurangi baju terbuka nya yaa,0
guys mf tapi dimataq ini cantik smp pangling klo gak krn liat nama dan komennya aq gk tau ini cinta kuya,0
cewe kaya looks cinta ini di amrik sana emg jatuhnya cewe kece woii beda ama kita,0
cinta banyak yang bilang aku mirip kamu,0
pdhl lebih cantik jdi diri sendiri,0
kalo liat kak cinta aku percaya cantik itu gak harus putih tapi gak cocok di kampungku yg putih itu yg cantik,0
pdhl cantikan dulu,1
dia gak mau putih guys pilihan dia sendri kok tanskin di luar negri kan mahal,0
pengen deh kayak cinta keluar negri kerja disana,0
cinta sama amel carla awet muda bgt wkwk,0
tanpa oplas cantiknya alami cinta cantik,0
cantikkk bangett tan skin,0
makeup zaman emak gw sih ini cin,1
aku jg lebih suka natural gini sehari hari dr pada dempul,0
dia itu cantik di negara bule sana,0
mirip cinta anak nya uya kuya,0
lahh kirian aku bukann cinta anknya uya kuyaa cantikk bgttt,0
kulitnya bgus bangettt,0
cantik banget vibes nya sdah kyak amerika latin,0
itu sesuai gaya di negara sana memang kulit kaya gitu sesuai standar kecantikan negara sana beda lagi kalo dia tinggal di korea atau cina pasti gayanya sesuai negara situ juga kayak nya dia fashionable,0
maaf ya cinta di mata ku jadi kayak peramal kayak mak2 tarot tu loh,1
kalian yg ngomen kaya uda sempurna aja,0
ngbayangin teh astrid pas muda,0
kamu cantik tanpa perlu validasi dari orang2 rese,0
kulitnya idaman para bule,0
tp trliat lbh tua dd umurnya,1
tan skin disana cantik loh guys di indo mah beda lagi,0
tapi rambutnya plis mengurangi kecakepannya maap ya,1
umurny berapa sih maap keliatan tua,1
demi apa pdhl dulu imut bgt kok sekarang,1
cinta lu knpeee cin knape jadi begini,1
mau kek manapun dia tuh bahagia dengan dirinya sendiri tau kalian punya tenaga bgt ngurusin hidup orang lah gw mau mandi aja magernya minta maap,0
kget njir liat cinta skrng kek gni,1
jadi kaya umur 35 an gini,1
cinta knpa malah kaya gini,1
kulitnya bagus bgt deh,0
cantik banget loh kulitnya walaupun ga putih tpi bersih mulus,0
kaya gini di hujat ini cantik bgt woyy kulitnyaaa heran bgt definisi cantik harus putih,0
lebih muda mamak dia di banding dia maaf haa cinta tapi emang iya,1
gw kira anaknya uya kuya,0
hiraukan aja hujatannya kk yg pentingg ilmuuu nyaaa,0
tua,1
cinn cantik bangettt,0
komennya kejam2 banget emangnya cinta salah apa sih sama kalian guys cantik itu gak mesti sulam alis pake eyelash softlen sulam bibir dll,0
cantik bgt warna kulitnya,0
pas dewasa gini dia mirip mamanya banget,0
kacamata nya bikin tua,1
komennya pd knp si emng dia harus begimane idup idup dia ngapa pd ngatur dah,0
disni cinta mirip banget sama mama astrid,0
standar kecantikan org negara selera itu beda beda jdi stop buat nuntut standar kecantikan seperti di ekspektasi kalean,0
cakep manis loh please lahh nggak semua orang harus putih ya kulitnya tiap orang punya style nya masing2,0
masya allah cantik mandiri,0
kenapa hostnya tidak langsung memutar video lawasnya jangan terlalu menjaga perasaan tamu yang di undang,0
kaum 58 gak bakal sadar,1
apaalgi anak abah yang masih ngarep abahnya jadi presiden,1
kambuh lagi org ini,1
ahhh termul ya tetep termul,0
bunglon,1
projo negri dan rakyat kocak2 jauh banget ngelak nya,0
apa yg harus di percaya sma bapak ini kasih video lama kata beliau waktu dl projo itu apa,0
betapa malangnya negara ini kasi makan fasilitas mewah ke orang macam ini,1
tergantung siapa yg kasih makan,0
projo negeri dan rakyat singkatan nyambungnya dmn,0
mukanya,1
kalo dia bilang a berarti yg benar b,0
mntap pak ambil aja negeri ini buat pak projo,0
dari mukanya aja sudah kelihatan,1
kalo ngga ngeles ya bukan ternak,1
mengganti logo berharap bisa masuk gerindra,0
ngabalin jilid 2,0
pak judi arie lagi klarifikasi,1
internet cepat kan,0
ini org terlalu banyak karisifikasi,1
projudol,1
sengkuni,1
kambuh lagi,1
judol judol,1
meluruskan membelokan,0
muncungnya,1
cuci muka cuci tangan cuci apa lagi,1
bahaya org ini,1
kata mak aku orang itu yg dipegang dipercaya omongan nya yg keluar dari mulut nya,0
internet cepat buat apa,0
ke 20 min,0
preett,0
orang apa ini guru,1
intinya cari makan tak ada yg lain,0
pro apa ini,0
dia siapa,0
tidak jauh jauh dari ajudannya ngibulnya,1
ngabalin versi 3 setelah haikal hasan,1
angkot jangan dengerin,1
iya percaya ko,0
baru tau arti yakult dikasih nyawa,1
sengkuni sengkuni,1
yang penting perut kenyang,0
projo jonya apa,1
jangan lupa kan jejak digital nya ruhut juga ini menempati diri pada penguasa supaya tetap eksis,1
gangsinggghh muter2,1
nyari kerja skrg susah,0
kapan masuk pengadilan pak budi,1
tahun itu dia ngomong projo pro jokowi knpa gak ditunjukin aja video nya biar dia kemakan fakta yg pernah di omongin,0
mepet pasti ada butuhnya jangan mau pak prabowo disusupi org beginian,0
ngisng aja,1
ya kali kejayaan selamanya bang,1
siapa ya loe,0
di lupa rekam jejaknya,1
yakin projo dalam bahasa sansakerta negeri rakyat coba cek geh di google translate,0
itu praja bukan projo,0
jadikan sekjen gerindra,1
projo itu pro jokowi,1
omongan gak bisa di pegang bahaya,0
dia yg ngomong dia yg bantah sama kaya junjungannya,1
projo artinya negri dan rakyat,0
cari amannn,0
garis lurus bersama pak jokowi gak kenal namanya budi ari,0
budiiii budi,1
apa aku yang kurang paham maksdnya,0
dipotong sendri omongnya,1
dia siapa sih,0
gak pemuja gak mulyono nya 11 12 lah,1
ngomong apa lagi di darto helm,1
artinya projo itu artinya projo,0
projo itu artinya pro judol,1
projo artinya negri dan rakyat apa hubungannya sattt,1
dari awal sdh gak jelas,1
si budi judol dompetnya udh tebel,1
maaaf saya orang awam saya coba nyari arti negeri dan rakyat kok beda ya,0
bukan netizen atau media yang bilang anda gak loyal tapi anda sendiri jejak digital itu pahit,0
dari muka aja kelihatan,1
keknya lebih tepat pro judol dah,1
dia pikir kita sebodoh pendukungnya,1
model sengkuni,1
fungsi anda apa ya,1
mukanya gak ada enak2nya diliat,1
affiliate wajib tinggalin jejak,0
aura judol mya kuat banget,1
gedabrus,1
bang coba duet sama firdaus kyke cocok deh,1
memang aturan pertama dipolitik adalah tidak tau malu,1
ketika anjing lagi milih tuan yg ingin mengadopsi nya,1
aku lihat dia kok kaya lihat kotaran saya yah adakah yang sama,1
ahh ngeless mulu,0
harus nya diganti plongo,0
info link gacor dong bos,0
orang kaya begini ga usah di kasih panggung,1
botak ngak ada rambut dia ngk ad otak,1
hayo tebak mana lebih keras jidat budi ari apa batu bacan,0
kalo tuan dan anjing bahasa lain nya apa,1
labi labi kadang di air kadang di laut,0
kebiasaan media yaa gini ngasih panggung makanya konoha gak pernah maju,0
fungsi nya projo itu apa sih,0
tempat para gembel cari pakan,1
umur segini nggak paham projo,0
projo pro jokowi,0
emg jokowi itu siapa,0
koq nyanya ke saya,1
relawan juga manusia prof butuh makan dan butuh jabatan mknya kami hrs terus menjilat,1
bikin gaduh negri ini,1
bela jokowi lah bos,0
ngerecokin negara,1
kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan,0
fungsinya bikin gaduh dan untuk menutupi bobroknya rezim 10 th yg lalu,0
buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,0
menjilat junjungn nya kalau gak ngenjilat gak bisa makan,1
jaga jamban berak,1
untuk menggembor gembor kan tuan nya dan menjilat demi cuan,1
promotor judi online,1
ibu ini lrbih cerdas daripada para relawan,1
ya iyalah di profesor ko termul otaknya zonk,1
ibu ini mgomong apa,0
cerdas ibu siti zuhro,0
ini projo ngomong apa si,1
relawan itu baiknya kalo gak bubar dipidanakan saja karna bikin fitnah kisruh dengan buzer2nya,0
gimana mau bubar cari cuan nya dengan begitu,0
kalo dibubarkan dapurnya gak berasap bang,1
ini jokowi punya dana tak terhingga untuk tim relawan jadi uang nya entah dari mana dana politik nya hanya jaman jokowi relawan berkelanjutan,1
yang relawan mulyono bayaran nya tetap berlanjut makanya mereka gak bubar,1
fredy ni orang indo apa bukan si,1
orang yang berfikir sehat beda dengan projo,1
kalau termul diskusi selalu memaksakan diri,1
relawan hanya cari isi perut ke penguasa,0
para penjilat mulai saling cakaran,0
relawan berubah jadi ormas ya cuma projo,1
kalau mereka berhenti sebagai relawan mereka ga ada pendapatan duit lagi prof,0
nyari duitnya emang begitu bu klo ga jadi relawan ntar pengangguran kan ijasahnya palsu,1
itu relawan cari cuwan,0
betuuul prof,0
ibu bicara panjang lebar itu nggk akan masuk sama projo,0
semua relawan harusnya otomatis bubar setelah pemilu selesai seperti halnya tim sukses bukan malah dipelihara semua tim relawan capres sudah bubar dengan sendirinya kecuali relawannya jokowi tetap dipertahankan,0
karena cari makannya dari situ,0
gak bakal ngerti bu mreka di jelasin juga,1
relawan kalo di bubarin terus makan apa para relawan itu bu,0
ah sampai sekarang juga masih ada judol,1
bubarkan relawan,0
damanik emang ga jelas cara ngomongnya serta jalan pikirannya mungkin itu mulut belum pernah makan bangku sekolah,1
dasar termul,0
membuat masyarakat terpecah belah,0
percuma di jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,0
relawan yang sering bikin gaduh hingga demokrasi kita melorot,0
kalau relawan bubar tar ga di bayar lagi buuu,0
pikirkan ekonomi supaya rakyat sejahtera politik terus kapan neres nya pemilu udah usai mari kita pikirkan raktyat supaya sejahtera,1
bener ibu ini yg namanya relawan jurkam tim pemenangan timses itu biasanya adanya di musim pemilu ini pemilu sdh lewat masih aja ada projo nanti dibilang cari panggung malah tersinggung malah gak trima ingat kontestasi dan rivalitas sudah selesai mari bersatu bangun negeri ini jangan sibuk sendiri dengan organisasimu,0
andi azwan kocak justru karna jaman budi ari judol dilindungi makanya pas dia berhenti jadi mentri banyak yang berhati hati karna backinganya udah gak ada,0
elawan pengen jadi komisaris bu,1
relawan bayaran,1
ini bukan relawan lagi melainkan termul namanya,1
ibu siti zuhro memang cerdas tuuuh is the best,0
itu komplotan bukan relawan,0
relawan apa kelompok penjilat,1
relawan itu pundi nya cari uang aja,0
bubarkan bunda,0
hahahahahahahahaha kena deh hehehehe,0
karena relawan jaman jokowi komonis itu menghidopkan komonis,1
satu lagi ini hasil kerja jokowi menurunkan demokerasi,1
sejak 2014 gaduh terus,0
yang bahas seorang profesor yang menghadiri mahasiswa yang di bahas relawan projo relawan jokowi jokowi nya orang yg tidak berijazah ijazah nya palsu,1
sejak jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer pemecah belah anak bangsa,1
ibu prof siti z debat dak kelasnya dengan orang projo karena orang ini tidak berkualitas,1
ngomong aja gak tertib para termul,0
jangan komentar bu nanti dipenjarakan bu nanti di pikir lawan penguasa,0
relawan itu penjilat,1
beda bet klo orang cerdas berbicara,0
relawan termul cari sembako,0
fredy salah yg penting ngeyel,1
fredy fredy dah lah pusing rakyat,0
plisss carilah pekerjaan dengan cara bermartabat,0
relawan gak jelas cuma cari panggung,1
betul bu relawan itu komplotan atau gerombolan buat apa ada partai politik,0
relawan jokowi itu pengangguran jadi pengangguran itu cari makan,1
judol berhenti setelah budi arie berhenti jdi menteri logikanya judol itu berhenti karena gak ada lagi backup dari budi arie jangan jangan,0
ini baruu asli orang cerdas tidak abal abal bicara nya juga enak,0
relawan itu bantu orang banyak bantu orang2 susah bukan bantu perorang,0
relawan tapi gak rela,1
susah ngomong sama termul seolah olah mereka pada paling bener padahal semua orang berhak punya pemikiran gemes bgt gw liat mereka,0
di media sosial di stasiun tv kapan ribut ribut pasti relawan jokowi,1
ibu ini pinter cerdas dr pada mulyono mulyono,0
cuma relawan jokowi yang gak mau bubar,0
ini baru ibu pejabat yg cerdas dn bijak,0
banyak yg cari makan bu disitu ada lumbung makanan disitu semut berdatangan,0
saking susahnya cari kerjaan,0
mantab bu dosen,0
relawan itu toxic,1
intinya relawan ingin mengadu domba rakyat dan yg utama mengalihkan isu dari semua kasus jokowi,0
relawan minta imbalan jasa,1
relawan dibuat kelanggengan kekuasaan,0
relawan itu ada berapa orang sihh,0
mereka bukan relawan tapi ketua dan dan wakil serta jajaran nya pengemis jabatan lalu pengikut nya pencari nasi bungkus,1
buat projo terus lh menjilat karna itu jalan usaha menapkahi keluarga nya,1
betul banget bu relawan itu hanya bikin gaduh,1
namanya ternak iya peliharaan kenapa dipelihara iya karena menguntungkan,0
relawan itu pabrik yg memproduksi hoaks dan digaji dg bansos sumber dananya berasal hasil kumpulan para koruptor yg dikelola oleh mulyono,1
selama transfer nya jalan terus ya hajar terus,0
dengan pemberian gelar pahlawan kepada pak harto akhirnya kita tahu siapa siapa yang menolak dan itu menunjukkan jika mereka itu keturunan siapa pada keluar dengan sendirinya kan yaaa,0
satu lagi kak jadi kan tragedi 98 siapa dalang nya dan yang lengserin pak harto siapa diem nya pak harto selama nih di bayar tunai allah bukain semuanya,0
keturunan pki,1
kalau tidak ada pak soeharto kita jadi negara komunis terbesar ke 2 di dunia,0
tau kan ribka tjiptaning siapa,0
yang katanya bangga jadi anak pki makanya benar kata pak harto pki 7 turunan jangan di kasih panggung pemerintahan dan ini lah kenyataanya paling pinter maling teriak maling ingat kan tahun 65,1
anak pki,1
2029 jgn ada yg pilih calon apapun dari pdi p,0
dari jawa tuh yang pilih kalau dari sumatra udah tidak laku banteng,1
pak harto bukan pembunuh rakyat justru pak harto sangat sayang dengan rakyat,0
pak soeharto lah yang menghidupi rakyat dengan ilmu pengetahuan,0
betul bisa di liat dari anak sekolah jaman pak harto sama anak sekolah jaman sekarang dl kelas 6 sd aja sudah hapal ibukota negara negara pegangan rpul rpal 1 jam berapa menit aja tau anak skrg,1
anak jaman dulu benar benar pinter pake otak tidak pake google kalkulator dan lain lain kayak sekarang,0
mega dan puan juga tangkap dan adili jangan lupa ganjar pranowo,1
ribka tjiptaning wajar ngomong begitu krn telusuri riwayatnya,1
ribka itu bangga jadi anak pki pahamkan,0
hnya presiden suharto yg kami rasakan kehidupan berbangsa dan bernegara sesungguhnya tidak ada perbedaan suku ras agama bhinneka tunggal ika benar benar dirasakan,0
kejahatan pak harto 8 kebaikan pak harto untuk negara indonesia 90 2 saya rakyat jelata tapi sangat merasa nyaman waktu beliau jadi presiden,0
wajib di usut ngomong seenaknya apalagi di awal itu kasar sekali ngomong tak pakai adab pada seseorang yang jasanya cukup besar di akui banyak orang di negeri ini,0
kata almarhum ibuku enak jamanya almarhum bpk soeharto,0
aku juga ikut merasakan pas sd apa yg aku inginkan selalu dituruti sama ibu tiap lebaran selalu dibeliin gelang anting heee,0
ingat gaiis jangan pernah memilih partai pdi dlm pemilihan umum berikut nya,0
pak harto presiden terbaik dari semua presiden indonesia,0
megawati juga jadi presiden bukan pilihan rakyat kudeta gus dur indosat d jual aset negara yang d jual berapa banyak itu,1
rakyat yang mana buktinya saya sebagai rakyat masih makan nasi dijaman pak harto saya malah mudah cari pekerjaan dan diera megawati pembuat outsorsing sabagai rakyat kami merasakan susah dapat pekerjaan dan masadepan pun makin tidak jelas,0
saya sebagai rayat biasa sakit hati dengan ucapan si ciptaning sudah menebar fitnah pada suharto yang saya hormati,0
oalaahh pak pak klo boleh milih lebih baik ri jgn sampe dipimpin oleh alm soeharto,1
mantaap biar kader pdip gak sewenang wenang meniru niru gaya bicara ketua umumnya si nenek bpk suharto itu tulus di akui atau tdk di hatiku bpk suharto tetaplah pahlawan,0
saya bersaksi bahwa bapak soeharto sangat teramat pantas dan negara harus wajib memberikan gelar pahlawan nasional kepada beliau jasa jasa beliau selama memimpin tidak bisa tergantikan sesungguhnya para kader pdip itu sendirilah yang antek dan sarang palu arit,1
usut tuntas ucapan saudari ripka suruh buktikan ucapan mereka apa jasa mereka baru jadi kader pdip bicara se enaknya,0
pak harto ragamu tidak terlihat lagi tapi pak harto tetap di hati kami bapak pembangunan bapak yang cinta ulama bapak yang banyak bangun masjid seluruh nusantara bapak harto yang merakyat negri aman sembako murah rindu kala itu alfatihah buat pk soeharto,0
bagus biar tdk seenaknya ngomong pak suharto,0
sangat setuju kalo ciptaning di laporkan ke polis,1
pak harto presiden terbaik dari semua presiden indonesia,0
jangan sampai rakyat yang menyukai pak harto ambil tindakan sama yang suka jelek jelekin pak harto,1
bagi orang cerdas dan jujur dan paham sejarah yang sebenar nya sejak tahun 65 pasti cinta ke pak suharto,0
presiden soeharto adalah pahlawan nasional dan presiden soeharto adalah bapak pembangunan,0
betul mas dituntut saja politikus harus santun dan nyata,1
tuntut ciptaning dan pdip,1
cocok bang maju terus biar mrk tau etika dan tidak hanya men jelek2 an tokoh bangsa mereka emang siapa,0
adil biar ga seenak jidatnya gomong,0
politisi pdip ini sudah seharusnya dilaporkan kepada pihak yang berwajib karena membuat pernyataan yang sangat mencederai keluarga besar almarhum bapak soeharto,1
penjarakan,1
kalau perlu penjarakan seumur hidup,1
betul penjarakan se umur hidup gerwani nyata itu,1
soeharto tetap di hati,0
pak soeharto bapak pembangunan kalo tanpa beliau kita tidak seperti sekarang,0
laporkan dan penjarakan,1
bapak presiden ke 2 soeharto adalah presiden terbaik dia peduli rakyat mensejahtrakan masyarakat negara aman aman memakmutkan petani meningkatkan pendidikan,0
saya rasakan jaman bapak suharto sangat adem ayem,0
isu pahlawan nasional bisa memancing mereka keluar mantap pak prabowo,0
dia masih sakit hati dia itu kan anak turunan pki,1
pak harto lebih pantas jadi pahlawan nasional,0
mantap sdh ini yg saya mau dengar ayoo pak laporkan dan tangkap mereka biar dia rasakan juga namax jeruji penjara,1
proses hukum biar dia tau rasa,1
tangkap segera,1
ternyata yang downfall siapa gesssss beliau,0
mau dipaksain positif vibes juga gabisa rul,1
eh zize bapak lu noh lg bersih2 nama elu,1
bro merasa dirinya ariel tatum,1
ayah zize nyindir arhan,0
ga ada yang editin jadi edit sendiri,0
aku nemu foto ini yaallah ngakak banget,0
udah ada temennya tuh zah jule sama nisa,0
muka ga seberapa nyakitin nya ga kira kira nurul nurul,1
anak abi lc,1
zize jule nisa luthfi bikin gc sana,0
idiiiiiihhhhh hueegggg muka aal mewakili banget,0
downfall era rul definisi makan ludah sendiri hahahaha,1
pada biadab semua termasuk lu zize,1
nurul mallu ga sii ditolak hampir seindonesia,1
semangat kak kamu sendirian,1
berani bgt nongol di fyp gueeee nuruuulll,1
vibe nya udh beda mau sepositif apapun itu,0
hal tersial arhan adalah menikah sama kamu,1
kalo bukan arhan gw gak tau dia siapa,1
aura nya ituloh aur auran,1
masih berani upload foto dia,1
heran banget masih ada yg bela nurul kenyataannya kelakuannya kyk gitu kenapa tutup mata sih,1
tenang zah kamu sendirian kok,1
cuihhh,1
kalian minggir dulu,0
nurul makasiiyyy ya jul berkat lu berita gw tenggelem,0
aura negatif nya kuat bngt,1
kalau ga karna arhan gatau zize,1
puas bgt bacain komen,0
aura jablai nya kuat bgt,1
yang ngomong dalam hati dicatat juga yaa,0
percuma dihujat gabakal di dengerin gess dia punya uang,1
ngapain hi hi org ga kenal,1
semoga arahan dapat wanita yg baik2 dan tulus,0
zize anjjjj,1
kalian pada kenapa sih dia udh berusaha jadi yang terbaik kok tapi tetep gabisa,1
the power of ratu iclik,0
gamau maapin semua salah lo,1
padahal arhan yang bantu sampe kaya gini,0
hok cuhh,1
masyaallah cantikkk banget pratama arhan punya istri,0
sebel ga sih ges,0
kak masyaallah nggak cape apa cantik terus,0
gua kalo mau temenan keknya mikir2 dah wkwkwk tkt bgt ngembat suami,1
pret,1
berani ya dia,0
komennya beneran mewakili,0
arhan sebaik itu loh kaa,0
nyakitin nya luar biasa,1
kalian aja deh yg ngomong,0
vibes nya istri idaman bgt yaa,0
kenapa gak minta aku yg editin video nya zuyy,0
dh masuk grup blm zah,0
kalo emg pernikahan mereka karna perjodohan sebaik apapun pasangan kalo emng masih mau bebas ya ttp mau bebas guys ga semua nya bisa di samakan,1
kalau bukan karna nikah ama arhan ga bakalan tau lu siyapa tapi happy trs yah zize jalan kalain memang udah masing tapi mungkin emng ini terbaik buat kaliyan,0
berani2ny lewat fyp guaa,1
hello ka zize semangat untuk hari harinya jadilah dirimu di versi tebaikmu ka tanpa harus memikirkan ucapan seseorang yg tidak tahu dengan isi hatimu,0
sehat sehat zize,0
julee harus belajar dri zize,0
cantik terus zize,0
nggak akun nisa nggak zize isinya hujatan semua,0
gue pernah ketemu aslinya zize cakepan gueeee jauhhh aslinya emh lbh ckep dri video tp standarrrrr ajaaa,1
fans arhan dan fans zz akur ulang yah kalian,0
tim gatau zize kalo gasama arhan wkwk,1
saya masih di tim zize walaupun yg lain menghujat krn pasti ada alasan berpisah tak mungkin ada api klau ngak ada asap semangat,0
semangatt zizeeee,0
proud of u zah aku tau km kuat,0
positif vibes bgt sumpah boong,1
kalo bukan karna arahan juga gue ga tau lu nurul,1
siapa yang downfall,0
cung yang tau dia gara2 nikah sama arhann,1
gapernah gua semuak ini liat artis yg bukan artis,1
haii kaa semangattt yahh akuu disiniii akuu nge fans arhan tapi ga ngebencii kaka and ga nge hujat kaka,0
hooookkkkkkkk cuihh,1
cantik,0
intinya hidup lo harus ngerti bersyukur nengg,1
ehh cantikuu lewat sehat2 yaa zizuunya akuuu,0
sehat2 neng,0
semngat cantik ayo bangkit zah kmblikan snyummu ceriamu kbhgiaan mmanantimu,0
semangat trus yh zahh,0
followers berkurang jah,0
cantik,0
kalian yg wakilkan,0
masyaallah cantik banget kaka,0
cantik banget ciii,0
kak cntikkk bgtt,0
lu aja semua yang ngomong gua mau silent treatment dlu,0
cuihhh,1
cantik amat,0
hok cuh,1
artis tahun kapan,1
cantiknya zizah,0
ga ada positive positive nya,1
gamau lihat,0
cantikkk,0
kuat kuat ya zize,0
sakit jiwa,1
berasa korban banget,1
kalo ga sma arhan kita ga tau kamu siapa kak,1
ngapain si segala lewat,1
tapi emg lintang mantep bgt sih,0
erica tuh endgame gw preeeeetttt,1
ini pret nya kecepetan nggasi,1
aloy ntar kalo vconk nyakitin erika gw maju paling depan buat erika keadaan aloy sekarang,1
when i start i never stop pretttttttt,1
gue berprinsip kalo kita nemuin pasangan di tempat ga bener bakal ga bener juga endingnya,1
mana nih yang minta di sisain cowo spek bravy hahahahaha,1
gaboleh punya org wkwk udahtau tp masi direspon heran deh,0
siapa disini yg ga kaget,0
kata gue ape yg tulus cuma penyanyi,1
malu anjir maluuu banget kalau gue jadi erikaaa,1
2025 full cowo ketahuan selingkuh,0
pngn muntah keinget podcastnya di deny cagur,1
kontrak selesai dan mission failed,0
emang cuma settingan mereka tuh cuma pengen jatohin si panda,1
dia cuma mau balas dendam sama dj panda,1
mau nya lagi si lintang sama aki aki,1
orang anaknya erika mirip bravy kasian si panda dituduh,1
emg kmren ada masalah personal sama panda aja itu kesempatan buat dia ngikut aslinya mah ga beda jauh,1
lintang kan udah ada cowooo ngadi ngadi nih berita,0
jule menambah kan bravy ke grup,0
malu gasih,1
berarti cowo tulus tu gaada ya,0
emang mantap sih lintang,0
hayoo lo semua yg minta cwo kaya bravy muncul,1
untung yg terkenal aloy bukan dia,1
dari erica bravy panda gua cuma suka liat edward aja,0
apa kabar fans bravy,1
udah bawa satu sirkel buat sindir sindiri si ono malah yang ini mirip mirip jangan jangan itu anaknya bravy bukan panda hmmm,1
dari lingkungannya aja kelihatan semua modelan kyak apa wkwk ga terkejut klo ada berita2 negative diborong sama circle lingkungannya,1
dan parahnya lagi si lintang yang di salahin jadi selingkuhan sama netizen,0
cowok begitu ngarepin apasi ga kaget,1
settingan ga si,0
si bravy mah numpang eksis doang ke mba er itu udh jdi niat si mnurutku ku lihat mba er juga ga trlalu mikirin hal kyk gitu lebih fokus ke karir apalgi skrg udh ada andrew org2 problematic tinggal cut off aja,1
prettt lu bravy mungkin ngelamar buat baik baikkn aja yaa kmrin,1
udah ada cwo itu si lintang tmn gw,0
densu dan om dedi pasti lagi muak bgt,1
trus maksudnya ngelamar itu apaan yaa bambang,1
fans fomo pahlawan pada kaget pasti padahal meraka aja yg fomo yg ngira dia org bener,1
langian ngapain percaya aki2,1
arap yang udh nangis terharu bilek,0
dj panda pasti ketawa terbahak bahak,0
knp yaa artis2 hidup nya penuh drama awal romastis ngelamar lah kepingin jdi garda terdepan ujung2 nya begini,0
pahlawan is over kah,1
target sudah tercapai dia hanya ingin balas dendam mengebu2 ke panda lewat si er setelah semua hancur kan di tinggal si er nya,1
mana nih yg sempet bandingin lamaran nya erbra sama elsyif,0
malu bgt pernah dukung bravy,1
setingan aja sih selama ini,0
mana nih yg kemarin kemarin minta di sisain cowo kyk bravy,1
gw lega banget erica gak sma aki aki njirrrr,1
hahahahahah ini end nya kah atau masih ada episode nya,0
podcast sana sini eh,1
yaaa namanya juga nemu ditempat yang sama disitu2 juga brave sama panda wkwkwkk pasti gak beda jauhh dunia gitu sama,1
aloy ntar kalau sampe dia nyakitin erika gua maju paling depan aloy menghilang dari line,1
densu dan om dedi pasti lagi muak bgt,1
lintang seumuran sama gua,0
fans nya aki tutup mata kata nya gantle man mengakui kesalahan nya lah iya si cewe sengaja cepuin coba kl kaga pasti diem bae hahahah,1
secepat ini pretnya bjir,1
keknya kalo jadi erika lebih ke malu gasi drpd sakit hati,1
lagian cewe nya mau respon dah tau dua pasangan itu lagi gempar2nya,1
lgian jg bravy kek numpang tenar gt gksi,1
kontrak pahlawan nya udah selesai,0
si lintang juga ngerespon lgi wkwk pdhl dia kan udh punya cwo,1
dj panda gua rasa ketawa ngakak cekikikan liat berita ini,0
mana yang pernah bilang sisakan satu laki laki seperti bravy,1
gak kaget krna dr awalll udhh tauu pastii kyk gnii berakhr,1
berita tergapenting,0
percayalah yng tiba tiba ngak suka ini sebenarnya fans aslinya,1
mkanya aloy bilang nikahnya nggu bravy nikah krn dy tau bravy seperti apa,1
wahh penting banget nih berita bisa ngasih makan gua dan keluarga makasih yah,0
cowo kalo setia mati kh,0
kmren kan akal akalan dia supaya panda jatoh,1
bener kata aloy kalo bravy gabakal nikah,1
hidup penuh dengan settingan,1
katakan pretttt semua akan pretttt,1
semangat ko bravy aku tau maksud dari drama ini keren ko brav,0
kemarin pada muji2 si aki2 skrng pasti pada ngehujat habis2an ga kagetlah,1
kata gua sih emang udah di setting dari awal,1
yapp semua akan pret pada waktunya,1
kocakk pahlawan kesiangan,1
serius pret nyaa secepat inii,1
dasar aki aki,1
modelan kaya gitu dipercaya aja udah ngakak,1
buat apa ganteng kalau gak bertanggung jawab anjayy ga tuh skrg netizan yg dulu mengagung kan superhero satu ini,1
hari hari liat orang selingkuh,0
apa yg mau diharapkan wkwkwk,1
gamau tau dan ga peduli,0
wkwk pahlawan pahlawanannya udah selesai,1
apa yang di harapkan sama cwo club,1
yah pdhl sicowo udah dibangga2in,1
katakan preeettt,1
yang kaya gini di kasih panggung terus buset dah,1
ga penting bgt,0
ingat yaaa bravy kan musuhnya beliau situ berharap apa,1
wkwkwk ga heran org dunia malam mana bs dipercaya,1
bravy lu se ganteng apa dah busett,1
kmrn siapa hayo yg bilang bravi tulus hayo dia blm ketauan aja guys,1
dari awal udh gaenak badan,0
dari awal juga udah nyangka gabakal nikah sama si hamil,1
rencana jatuhin panda gagal ya rubah rencana lagi,1
biasalah dunia malam,1
so ganteng lu bravy,1
