comment,sentiment,comment_length,cleaned_comment,label
"""potret seorjing memegang anjing kwkw""",-1,38,potret seorjing memegang anjing kwkw,1
"Dasar aturan yang bikin Polri makin bebas ngegas, gak heran kalau makin banyak preman berkedok kepolisian!",-1,106,dasar aturan yang bikin polri makin bebas ngegas gak heran kalau makin banyak preman berkedok kepolisian,1
"Hukum Tajam Ke Bawah, Tumpul Ke Atas Seperti Patok Pramuka",1,58,hukum tajam ke bawah tumpul ke atas seperti patok pramuka,0
"""Muka kek slangkangan biawak aje bnyk blagu lu""",-1,47,muka kek slangkangan biawak aje bnyk blagu lu,1
fungsi nya projo itu apa sih,1,28,fungsi nya projo itu apa sih,0
ANAK ABI LC,-1,11,anak abi lc,1
apaalgi anak abah yang masih ngarep abahnya jadi presiden,-1,57,apaalgi anak abah yang masih ngarep abahnya jadi presiden,1
"""Yang penting ada niat.. dan keberanian""",1,40,yang penting ada niat dan keberanian,0
"ngeri ihh, untung ngga Nemu dosen begini di kampus ku",1,53,ngeri ihh untung ngga nemu dosen begini di kampus ku,0
"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",-1,75,ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari,1
"""Aamiin. Doa baik juga untuk Meldi""",1,35,aamiin doa baik juga untuk meldi,0
"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",-1,46,padahal bulug gini ya mukanya ehh maaf,1
"itulah indonesia ..krj cm duduk ,teken ,plng gaji +tunjangan besar ya moh kla mengundurkan diri",1,95,itulah indonesia krj cm duduk teken plng gaji tunjangan besar ya moh kla mengundurkan diri,0
Sempet sempetnya ngalis dulu anj,-1,32,sempet sempetnya ngalis dulu anj,1
"masih nyalahin baju, orang kalau nafsu sapi tetangga aja lewat ",1,63,masih nyalahin baju orang kalau nafsu sapi tetangga aja lewat,0
dia yg ngomong dia yg bantah sama kaya junjungannya,-1,51,dia yg ngomong dia yg bantah sama kaya junjungannya,1
followers berkurang jah,1,23,followers berkurang jah,0
bunuh aja anggota DPR saat tidur. Rakyat semoga geruduk anggota DPR. Kalau bisa bakar rumahnya ampe anggota DPR tiwas,-1,117,bunuh aja anggota dpr saat tidur rakyat semoga geruduk anggota dpr kalau bisa bakar rumahnya ampe anggota dpr tiwas,1
"emang minta untuk di nepalkan dpr itu , apalagi si puan",-1,55,emang minta untuk di nepalkan dpr itu apalagi si puan,1
kok bisa masih punya temen sih? herann ga pada geregetan ðŸ˜­,-1,61,kok bisa masih punya temen sih herann ga pada geregetan,1
ntah lah ga respect.,-1,20,ntah lah ga respect,1
"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",1,65,dan yang paling saya heran cowokpun ikut ngebully sabar meldi,0
tinggal nunggu berita banjir etanol di rumah beliau,-1,51,tinggal nunggu berita banjir etanol di rumah beliau,1
hah komennya?! padahal cantik bgt njir ðŸ˜­,1,43,hah komennya padahal cantik bgt njir,0
"asal ngebales bully nya ga senang, ya ttp aja faktanya sama sifat neti nanti kebawa jg ke lingkungan, trs ada masih bnyk tuh nanti pembully kedepannya ga habis""",1,160,asal ngebales bully nya ga senang ya ttp aja faktanya sama sifat neti nanti kebawa jg ke lingkungan trs ada masih bnyk tuh nanti pembully kedepannya ga habis,0
"yang relawan Mulyono ,bayaran nya tetap berlanjut makanya mereka gak bubar",-1,74,yang relawan mulyono bayaran nya tetap berlanjut makanya mereka gak bubar,1
Komen nya nggak bngt njir padahal sesama perempuan,1,50,komen nya nggak bngt njir padahal sesama perempuan,0
"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",-1,55,muka lu sama anjing gwe lebih ganteng anjing gwe rik,1
"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",1,79,kamu emang cocoknya jadi pengusaha kuliner udah fixs semoha lancat terusssss,0
gak kaget krna dr awalll udhh tauu pastii kyk gnii berakhrðŸ˜‚,-1,62,gak kaget krna dr awalll udhh tauu pastii kyk gnii berakhr,1
as always u look so pretty girls ðŸ˜,1,37,as always u look so pretty girls,0
siapa si yang pertama bilang abidzar ganteng? lu liat niðŸ˜­,-1,60,siapa si yang pertama bilang abidzar ganteng lu liat ni,1
"""Kasian gue sama anjingnya dipegang dajjal""",-1,43,kasian gue sama anjingnya dipegang dajjal,1
"""Benci aja Ama orang jelek pake selingkuh segala""",-1,49,benci aja ama orang jelek pake selingkuh segala,1
Kerenâ¤ï¸â¤ï¸..... Bongkar sampai tuntas,1,44,keren bongkar sampai tuntas,0
"""Padahal cantikan jessica kemana mana""",1,38,padahal cantikan jessica kemana mana,0
"""MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING""",-1,45,melet2 udah kaya anjing eh kan emah anjing,1
keren banget jadi bang safnoviart,1,33,keren banget jadi bang safnoviart,0
"datang ke mukanya bawa linggis, cokotin ke muka tuh si musang ",-1,62,datang ke mukanya bawa linggis cokotin ke muka tuh si musang,1
Cba ganti eyesedow nya jangan itu ðŸ™ðŸ»,-1,42,cba ganti eyesedow nya jangan itu,1
"jelek,tolol,bego,hidup lagiðŸ˜‚",-1,31,jelek tolol bego hidup lagi,1
"Cantikkk bngttttðŸ¥°please jgn dengerin orang ngomong apa,kmu cantik dengan pilihan kamu sendiri,setiap",1,103,cantikkk bngtttt please jgn dengerin orang ngomong apa kmu cantik dengan pilihan kamu sendiri setiap,0
"vibes koko"" hongkong ðŸ¤•â™¥",1,28,vibes koko hongkong,0
sehat2 Neng ðŸ˜‡ðŸ©µ,1,20,sehat2 neng,0
"""Tuhan yesus baik semangat rick""",1,32,tuhan yesus baik semangat rick,0
"""Dikasih bidadari malah milih setan""",-1,36,dikasih bidadari malah milih setan,1
Yakin Projo dalam bahasa sansakerta negeri & rakyat ? coba cek geh di google translate ðŸ˜‚ðŸ˜‚ðŸ˜‚,1,99,yakin projo dalam bahasa sansakerta negeri rakyat coba cek geh di google translate,0
Pansos nya berhasilðŸ‘,-1,23,pansos nya berhasil,1
alah dulu pas msih jdi istri boro2 ðŸ˜‚,-1,39,alah dulu pas msih jdi istri boro2,1
"""Modelny aja murahan apalagi barangnya""",-1,39,modelny aja murahan apalagi barangnya,1
"""Kok makin dewasa makin imutt aih cipaaaaaa""",1,44,kok makin dewasa makin imutt aih cipaaaaaa,0
cantikk bgtt ni oranggðŸ¥°ðŸ¥°,1,30,cantikk bgtt ni orangg,0
"""jari jari kaki kayak jarinya tukang panggul""",-1,45,jari jari kaki kayak jarinya tukang panggul,1
"""Sumpah sih jahat banget. Bener2 kasian sama kak jessica""",1,57,sumpah sih jahat banget bener2 kasian sama kak jessica,0
"dari jawa tuh yang pilih, kalau dari sumatra udah tidak laku banteng",-1,68,dari jawa tuh yang pilih kalau dari sumatra udah tidak laku banteng,1
"""Ga Taulah aku juga suka banget sama gayanya isyan""",1,51,ga taulah aku juga suka banget sama gayanya isyan,0
Perwakilan Rakyat tapi gak mewakili apapun yang rakyat serukan sama sekali,-1,74,perwakilan rakyat tapi gak mewakili apapun yang rakyat serukan sama sekali,1
"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",-1,51,muka nya muka kolot wkwk bukan muka bayi2 lucu gt,1
"""Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha""",-1,67,biarkan bangkrut aja ceo nya gatau trimakasih haha,1
internet cepat kan,1,18,internet cepat kan,0
ariel : ga pernah se muak ini,-1,29,ariel ga pernah se muak ini,1
MENJILAT junjungn nya ðŸ˜… kalau gak NGENJILAT gak bisa makan ðŸ™ƒðŸ¤­,-1,70,menjilat junjungn nya kalau gak ngenjilat gak bisa makan,1
JELEK BGTTT PUBLIC SPEAKINGNYA BENER BENER JELEKKKK PLEASSSS LO TUH DIBAYAR PH BUAT MAIN FILM TAPI KENAPA BLUNDER MULU SEOLAH-OLAH LO GA PERLU PENONTON. BODOH BANGETTT ðŸ˜­ðŸ˜­ðŸ˜­,-1,180,jelek bgttt public speakingnya bener bener jelekkkk pleassss lo tuh dibayar ph buat main film tapi kenapa blunder mulu seolah olah lo ga perlu penonton bodoh bangettt,1
rigen anaknya bahlil juga kayanya,-1,33,rigen anaknya bahlil juga kayanya,1
"""Ya Allah ni orang apa peri, cantik amatt""",1,42,ya allah ni orang apa peri cantik amatt,0
bukan di IAIN Ternate? bertanya dengan nada lembut ,1,51,bukan di iain ternate bertanya dengan nada lembut,0
Tangkap segera,-1,14,tangkap segera,1
kriput,-1,6,kriput,1
relawan itu pundi nya cari uang aja,1,35,relawan itu pundi nya cari uang aja,0
"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",1,104,bener bener idola dr musisi yang dipandang sebelah mata sampe buat label musik sendiri congrats syan,0
"""Udah dapat kontrak dari skincare ttp aja buluk mel""",-1,52,udah dapat kontrak dari skincare ttp aja buluk mel,1
"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",-1,38,muka kampung gaya sok soan kota nyet,1
cakeppp polllll mamariii,1,24,cakeppp polllll mamariii,0
"""Kesihan gue sama org otak dangkal kek gini""",-1,44,kesihan gue sama org otak dangkal kek gini,1
"saya yakin Krn mas Uya Kuya orang baik,saya sbg TKW Taiwan,sering melihat,bolak balik Taiwan Indonesia,Hongkong, Indonesia untuk membantu para TKW",1,146,saya yakin krn mas uya kuya orang baik saya sbg tkw taiwan sering melihat bolak balik taiwan indonesia hongkong indonesia untuk membantu para tkw,0
 rahasia umum ,1,14,rahasia umum,0
mau komen tp lagi bunting,1,25,mau komen tp lagi bunting,0
cantik terus zize ðŸ˜âœ¨,1,25,cantik terus zize,0
"Ga ada yang editin, jadi edit sendiri ðŸ˜­",1,42,ga ada yang editin jadi edit sendiri,0
"indikator nya semua ada di Jogja bang,kalau di Jogja masih adem ayem tidak bakalan pengaruh bagi mereka",1,103,indikator nya semua ada di jogja bang kalau di jogja masih adem ayem tidak bakalan pengaruh bagi mereka,0
"""Karir turun jadi autis kasian hahah""",-1,37,karir turun jadi autis kasian hahah,1
"gayanya udah kaya aktor chungmuro,Ryu Jun Yeol juga kalah gaya nyaðŸ˜­ðŸ¤£ðŸ¤£ðŸ‘ŠðŸ»",1,86,gayanya udah kaya aktor chungmuro ryu jun yeol juga kalah gaya nya,0
"""Dikasih bidadari malah minta lonte""",-1,36,dikasih bidadari malah minta lonte,1
bentar lagi bakal ada komen nyalahin cewek ,1,43,bentar lagi bakal ada komen nyalahin cewek,0
"banyak yg cari makan bu, disitu ada lumbung makanan disitu semut berdatangan",1,76,banyak yg cari makan bu disitu ada lumbung makanan disitu semut berdatangan,0
"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",-1,53,palsu badane diedit semua tu aslinya dimana2 lemak,1
Banyak artis indonesia kulitnya exsotis mulus ðŸ˜Š muka pun mulus,1,65,banyak artis indonesia kulitnya exsotis mulus muka pun mulus,0
"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",1,105,semangat ferdian gausah dengerin orang yang hujat kamu karena semua manusia tidak luput dari kesalahan,0
"di nepal bisa kejadian soalnya parcok nya netral, disini mah boro boroðŸ˜‚",-1,74,di nepal bisa kejadian soalnya parcok nya netral disini mah boro boro,1
"Emang gk cocok sm Erika, Erika kecantikan buat kamu ðŸ˜›",-1,56,emang gk cocok sm erika erika kecantikan buat kamu,1
"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",1,63,kalau pas penempatannya sebenernya kamu imut banget loh mel,0
relawan kalo di bubarin terus makan apa para relawan itu bu,1,59,relawan kalo di bubarin terus makan apa para relawan itu bu,0
Hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat....tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,-1,160,hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,1
Semangat mama riii ðŸ˜ðŸ”¥,1,27,semangat mama riii,0
"brand-brand jangan sampai luluh gegara video ini, biar jadi pelajaran dia",1,73,brand brand jangan sampai luluh gegara video ini biar jadi pelajaran dia,0
lebih muda mamak dia di banding dia maaf haa cinta tapi emang iyaðŸ˜Œ,-1,69,lebih muda mamak dia di banding dia maaf haa cinta tapi emang iya,1
kasihan sih sama mbak tugba,1,27,kasihan sih sama mbak tugba,0
"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",-1,64,lututnya masih hitam gosok maning biar tambah cling dan cantik,1
"Kulit oke bgt , tp pakaiannya kya anak punkðŸ˜­",-1,47,kulit oke bgt tp pakaiannya kya anak punk,1
"""Woy Lutfi asu , sok asik Lo ANJING !""",-1,38,woy lutfi asu sok asik lo anjing,1
"emang rasanyaa korup tuh mantep banget ya sampe segala aturan yang mencegah kita buat berontak dikerahkan secepat mungkin, takut soalnya org indo udah pada pinter wkwkw",1,168,emang rasanyaa korup tuh mantep banget ya sampe segala aturan yang mencegah kita buat berontak dikerahkan secepat mungkin takut soalnya org indo udah pada pinter wkwkw,0
Negeri ini tidak kekurangan org pintar.. tapi kurang org jujur.,1,63,negeri ini tidak kekurangan org pintar tapi kurang org jujur,0
mana sama lagi marga nya sama gueeðŸ™ðŸ»ðŸ˜­,1,46,mana sama lagi marga nya sama guee,0
pdhal timothy baik,1,18,pdhal timothy baik,0
"Ngga ada masalah kok...jelas , mudah difahami dan berhati hati..",1,64,ngga ada masalah kok jelas mudah difahami dan berhati hati,0
"jawab aja apa adanya sih, berterus terang apa adanya ",1,53,jawab aja apa adanya sih berterus terang apa adanya,0
selama transfer nya jalan terus ya hajar terus...ðŸ˜…ðŸ˜‚,1,57,selama transfer nya jalan terus ya hajar terus,0
proud of u zah aku tau km kuat â¤,1,34,proud of u zah aku tau km kuat,0
"Oh good, sampai jumpa di akhirat ðŸ‘‹",1,37,oh good sampai jumpa di akhirat,0
"""Lonte kurus pucet kek mayat hidup""",-1,35,lonte kurus pucet kek mayat hidup,1
Ahh ngeless mulu,1,16,ahh ngeless mulu,0
kak cakep banget aslii,1,22,kak cakep banget aslii,0
di kampus gue ada dosen yang selalu manfaatin mahasiswa nya dan pilih kasih. salah satu dosen tiba-tiba kena speakup dari angkatan gue. lu tau ga imbas laporan satu orang jadi ancaman nilai C satu angkatan? nasib dosen cuma di omongin fakultas dan dosen lain. lu tau karena apa? karena dia punya power ,1,302,di kampus gue ada dosen yang selalu manfaatin mahasiswa nya dan pilih kasih salah satu dosen tiba tiba kena speakup dari angkatan gue lu tau ga imbas laporan satu orang jadi ancaman nilai c satu angkatan nasib dosen cuma di omongin fakultas dan dosen lain lu tau karena apa karena dia punya power,0
pecat aja pk ....gk guna ngabisin anggaran negara aja .....nnti psti ngulangin lg,-1,81,pecat aja pk gk guna ngabisin anggaran negara aja nnti psti ngulangin lg,1
apa kabar fans Bravy ðŸ˜,-1,25,apa kabar fans bravy,1
"""Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.""",-1,80,org kampung otak dusun gaya sosoan hype ttep aja gabisa nutupin muka babu lu,1
eh dia ga punya manager yang ngontrol dia kah?,1,46,eh dia ga punya manager yang ngontrol dia kah,0
Si numpang tenar,-1,16,si numpang tenar,1
"Betapa malangnya negara ini, kasi makan,fasilitas mewah ke orang macam ini..",-1,76,betapa malangnya negara ini kasi makan fasilitas mewah ke orang macam ini,1
itu si ariel tatum udah nahan tantrumðŸ˜­ðŸ™,1,45,itu si ariel tatum udah nahan tantrum,0
HOOOOKKKKKKKK CUIHH...,-1,22,hooookkkkkkkk cuihh,1
PECAT BAHLIL,1,12,pecat bahlil,0
"bro mslh kita bpnya aja jgn bwa""anaknya woyðŸ—¿",1,47,bro mslh kita bpnya aja jgn bwa anaknya woy,0
penyebab Fiki nangis..dia ingat tugba,-1,37,penyebab fiki nangis dia ingat tugba,1
cantikk bangett semangat kaka ðŸ¥°ðŸ¥°ðŸ¥°,1,42,cantikk bangett semangat kaka,0
Bro merasa dirinya Ariel tatum ðŸ˜­,-1,35,bro merasa dirinya ariel tatum,1
ngeri ya sekolah Islam malah jadi sarang musang birahi ,1,55,ngeri ya sekolah islam malah jadi sarang musang birahi,0
ok mari kita unfoll,1,19,ok mari kita unfoll,0
"Karakter pemimpin juga perlu dibentuk. Misal jangan egois, tidak anti-kritik, dan mengakui kesalahan.",1,101,karakter pemimpin juga perlu dibentuk misal jangan egois tidak anti kritik dan mengakui kesalahan,0
"""udah buriq brengsek pula pantes aja dapet lonte""",-1,49,udah buriq brengsek pula pantes aja dapet lonte,1
"Bruh dia seengganya dia bisa kabur dri negara ini, artinya dia win. kalian ini knp dah julid bgtðŸ˜­",1,100,bruh dia seengganya dia bisa kabur dri negara ini artinya dia win kalian ini knp dah julid bgt,0
"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",-1,65,muka anak nya ko tua banget yaa gk ngegemesin gk ada lucu2nya,1
semoga kakak maya lebih bahagia,1,31,semoga kakak maya lebih bahagia,0
DJ Panda gua rasa ketawa ngakak cekikikan liat berita ini,1,57,dj panda gua rasa ketawa ngakak cekikikan liat berita ini,0
namanya ternak iya peliharaan kenapa dipelihara iya karena menguntungkan,1,72,namanya ternak iya peliharaan kenapa dipelihara iya karena menguntungkan,0
pdhl cantikan dulu,-1,18,pdhl cantikan dulu,1
mau dipaksain positif vibes juga gabisa rul.,-1,44,mau dipaksain positif vibes juga gabisa rul,1
PAHLAWAN KESIANGAN YEU,-1,22,pahlawan kesiangan yeu,1
So ganteng lu bravy!!!,-1,22,so ganteng lu bravy,1
"lama-kelamaaan makin mirip bapaknya ,",-1,37,lama kelamaaan makin mirip bapaknya,1
PROJO : NEGERI DAN RAKYAT ? Singkatan nyambungnya dmn?,1,54,projo negeri dan rakyat singkatan nyambungnya dmn,0
Pogba lagi dugem,-1,16,pogba lagi dugem,1
emang kalo ke photo studio boleh bawa hewan ya?,-1,47,emang kalo ke photo studio boleh bawa hewan ya,1
"""yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt""",1,87,yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt,0
hancur banget hatiku ketika merasakan hatinya daehoon ia merawat anak sendirian tanpa seorang istriðŸ¥ºðŸ˜©ðŸ˜¢,1,111,hancur banget hatiku ketika merasakan hatinya daehoon ia merawat anak sendirian tanpa seorang istri,0
"Emg kenapa si, org juga butuh pendamping hidup lagi, netizen gatau apa2 mending diem, mau gimn pun juga mamari berhak bahagia, gausah urusin hidup org lainðŸ˜’",1,159,emg kenapa si org juga butuh pendamping hidup lagi netizen gatau apa2 mending diem mau gimn pun juga mamari berhak bahagia gausah urusin hidup org lain,0
cantiknya zizah,1,15,cantiknya zizah,0
Ternyata yang downfall siapa gesssss??? Beliau?,1,47,ternyata yang downfall siapa gesssss beliau,0
Tebak isi pikiran ariel tatum ðŸ˜­,1,34,tebak isi pikiran ariel tatum,0
"""Gajadi beli, takut ketularan lonte nya""",-1,40,gajadi beli takut ketularan lonte nya,1
cerdas ibu Siti Zuhro ðŸ‘,1,26,cerdas ibu siti zuhro,0
"namanya juga musang birahi, kalau tidak terpenuhi semua jadi kacau, ngamuk dia",-1,78,namanya juga musang birahi kalau tidak terpenuhi semua jadi kacau ngamuk dia,1
KerennnnðŸ‘,1,12,kerennnn,0
curi perhatian siapa?,1,21,curi perhatian siapa,0
dia kalo gaa cerdas gaa bakal masuk partai dek dek,1,50,dia kalo gaa cerdas gaa bakal masuk partai dek dek,0
circle problemmatic,-1,19,circle problemmatic,1
"""Fix yang komen semua nyela""",1,28,fix yang komen semua nyela,0
"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",1,75,mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,0
Karena apa dia minta maaf guys ðŸ˜¹,1,35,karena apa dia minta maaf guys,0
cantik bgt warna kulitnyaðŸ¥°,1,29,cantik bgt warna kulitnya,0
"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",1,85,meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip,0
Banyak tingkah,-1,14,banyak tingkah,1
"Kalo cuman nonaktif berapa bulan ya gk ada apa2 nya, tabungannya masih banyak",-1,77,kalo cuman nonaktif berapa bulan ya gk ada apa2 nya tabungannya masih banyak,1
"di India kalau birahi pada salto, kalau di sini pada ngambek ya",1,63,di india kalau birahi pada salto kalau di sini pada ngambek ya,0
cuihhh,-1,6,cuihhh,1
jgn minta maaf jika km minta maaf karna ketahuan ðŸ˜,-1,53,jgn minta maaf jika km minta maaf karna ketahuan,1
"""editan sama konsepnya nice banget lahhh""",1,41,editan sama konsepnya nice banget lahhh,0
ngeri kalo ibu-ibu salam interaksi nonton ini ðŸ™,1,50,ngeri kalo ibu ibu salam interaksi nonton ini,0
ngisng aja,-1,10,ngisng aja,1
selama ini hanya menduga duga malah dia blak blakan,1,51,selama ini hanya menduga duga malah dia blak blakan,0
Langian ngapain percaya aki2ðŸ¤£,-1,32,langian ngapain percaya aki2,1
mantap sdh ini yg saya mau dengar ayoo pak laporkan dan tangkap mereka biar dia rasakan juga namax jeruji penjara,-1,113,mantap sdh ini yg saya mau dengar ayoo pak laporkan dan tangkap mereka biar dia rasakan juga namax jeruji penjara,1
info link gacor dong bos,1,24,info link gacor dong bos,0
Makanya semua akan prettt pada waktunya ðŸ¤£,-1,44,makanya semua akan prettt pada waktunya,1
"""Jangan ada hitam diatas putih. Langsung proses""",1,48,jangan ada hitam diatas putih langsung proses,0
PADA GATAU TAN SKIN APA JIRR CAKEP GINI DI BILANG APALAHH,1,57,pada gatau tan skin apa jirr cakep gini di bilang apalahh,0
cantikkk ngga haruss putihh,1,27,cantikkk ngga haruss putihh,0
"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",1,63,semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas,0
tandain muka anak anak nya,-1,26,tandain muka anak anak nya,1
"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",-1,72,nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana,1
"lapor ke komisi etik kampusnya kak, ini udah masuk dosa besar perguruan tinggi. hukumnya gak main main loh, NIDN dosennya bisa di blacklist sama  DIKTI",1,151,lapor ke komisi etik kampusnya kak ini udah masuk dosa besar perguruan tinggi hukumnya gak main main loh nidn dosennya bisa di blacklist sama dikti,0
 gak fresh ya mukanya,-1,21,gak fresh ya mukanya,1
Alesan mereka apa ya bully timoty? Pdhl beda fakultas loh,1,57,alesan mereka apa ya bully timoty pdhl beda fakultas loh,0
gimana dengan TugbaðŸ˜­,1,23,gimana dengan tugba,0
Kalau bukan karena aksi turun ke jalan gimana bisa tau kalau uang pajak dipakai ugal-ugalan. ðŸ˜¥,1,97,kalau bukan karena aksi turun ke jalan gimana bisa tau kalau uang pajak dipakai ugal ugalan,0
otak otak pdf emang kelainan bang,1,33,otak otak pdf emang kelainan bang,0
mana dipanggil ustad lagi ,1,26,mana dipanggil ustad lagi,0
"""Gajadi beli Model murahan barang pasti murahan""",-1,48,gajadi beli model murahan barang pasti murahan,1
"masalah nya si Bahlil ini udh di kasih kekurangan malah di kurang""ngin",-1,70,masalah nya si bahlil ini udh di kasih kekurangan malah di kurang ngin,1
"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",-1,58,dikasih hati yg malaikat milih yg berhati iblis greget,1
"""Muka buluk kepedean lagi.. muka udah tua""",-1,42,muka buluk kepedean lagi muka udah tua,1
"""Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe""",-1,105,cocok kok emang orang baik mah buat org baik kalo yg bejat mah emang cocok buat yang bejat juga ehehe,1
aura jablai nya kuat bgt,-1,24,aura jablai nya kuat bgt,1
ga ada positive positive nya,-1,28,ga ada positive positive nya,1
"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",-1,97,pengambilan fotonya sudah bagus mantap dan keren tinggal pengambilan arwah nya aja yang belum,1
"""paan melet melet mau jilat tai tabi?""",-1,38,paan melet melet mau jilat tai tabi,1
"""Jelek aja tukang selingkuh lo buriq !""",-1,39,jelek aja tukang selingkuh lo buriq,1
HNYA. PRESIDEN SUHARTO YG KAMI RASAKAN KEHIDUPAN BERBANGSA DAN BERNEGARA SESUNGGUHNYA TIDAK ADA PERBEDAAN SUKU RAS AGAMA BHINNEKA TUNGGAL IKA BENAR BENAR DIRASAKAN ðŸ¥° ðŸ’ªðŸ»,1,177,hnya presiden suharto yg kami rasakan kehidupan berbangsa dan bernegara sesungguhnya tidak ada perbedaan suku ras agama bhinneka tunggal ika benar benar dirasakan,0
ini baru ibu pejabat yg cerdas dn bijak.,1,40,ini baru ibu pejabat yg cerdas dn bijak,0
aura mba2 pembaca tarot kuat bangtttðŸ˜­ðŸ™,-1,44,aura mba2 pembaca tarot kuat bangttt,1
"dengan pemberian gelar pahlawan kepada pak Harto, akhirnya kita tahu siapa-siapa yang menolak dan itu menunjukkan jika mereka itu keturunan siapa. pada keluar dengan sendirinya kan yaaa... ðŸ˜‚ðŸ˜‚",1,197,dengan pemberian gelar pahlawan kepada pak harto akhirnya kita tahu siapa siapa yang menolak dan itu menunjukkan jika mereka itu keturunan siapa pada keluar dengan sendirinya kan yaaa,0
trus maksudnya ngelamar itu apaan yaa bambangðŸ˜­,-1,49,trus maksudnya ngelamar itu apaan yaa bambang,1
"""Puny cewk baik di selingkuhin g ngotak""",-1,40,puny cewk baik di selingkuhin g ngotak,1
Ariel tatum capek banget pastii ðŸ˜­ðŸ˜­ nyapuuu muluuu,1,55,ariel tatum capek banget pastii nyapuuu muluuu,0
projo artinya negri dan rakyatðŸ˜­ðŸ˜‚,1,38,projo artinya negri dan rakyat,0
elawan pengen jadi komisaris buðŸ™,-1,35,elawan pengen jadi komisaris bu,1
cantikðŸ¥°,1,10,cantik,0
cantikkkk bangetttttt,1,21,cantikkkk bangetttttt,0
tau kan ribka tjiptaning siapa..?,1,33,tau kan ribka tjiptaning siapa,0
"end end game, pretttttt ðŸ˜‚",-1,28,end end game pretttttt,1
"Oh tidak ada urusan ya, kasian juga ya pemimpin kita tidak dianggap ðŸ˜¢ðŸ˜‚",1,76,oh tidak ada urusan ya kasian juga ya pemimpin kita tidak dianggap,0
dia itu cantik di negara bule sana,1,34,dia itu cantik di negara bule sana,0
pak judi Arie lagi klarifikasiðŸ˜‚,-1,34,pak judi arie lagi klarifikasi,1
mending diam gatau malu,-1,23,mending diam gatau malu,1
relawan minta imbalan jasa,-1,26,relawan minta imbalan jasa,1
"""Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga""",-1,141,rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik sayang nya lu ngecewain org lain gimana mo masuk surga,1
"""Miris banget? ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",1,92,miris banget ultah bukan didoain yang baik2 tapi tetap di bully kasian god bless u mel,0
dia sudah berani keluar lagi karna posisi dia sudah di gantiin sama inara,-1,73,dia sudah berani keluar lagi karna posisi dia sudah di gantiin sama inara,1
"kalau tidak ada pak soeharto, kita jadi negara komunis terbesar ke 2 di dunia",1,77,kalau tidak ada pak soeharto kita jadi negara komunis terbesar ke 2 di dunia,0
"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",-1,124,mbak cadel yg bangga dengan cadelnya harusnya sih kasihan karna cadel tapi lama jadi jijik kenapa gak sekalian bisu aja,1
